"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3563","Login exitoso con un usuario válido","chromium","Sun Feb 09 13:53:29 CST 2025","passed","Sun Feb 09 13:53:33 CST 2025","Login exitoso Saucedemo","Test Case 1 Login.spec.js","",""
"","2188","Login failed con un usuario no válido","chromium","Sun Feb 09 13:53:38 CST 2025","passed","Sun Feb 09 13:53:40 CST 2025","Login failed Saucedemo","Test Case login failed.spec.js","",""
"","3521","Logout exitoso","firefox","Sun Feb 09 13:53:56 CST 2025","passed","Sun Feb 09 13:53:59 CST 2025","Logout exitoso","Test Case logout.spec.js","",""
"","2747","Remove from cart","webkit","Sun Feb 09 13:54:14 CST 2025","passed","Sun Feb 09 13:54:16 CST 2025","Remove from cart","Test Case remove from cart.spec.js","",""
"","2304","Login failed con un usuario no válido","webkit","Sun Feb 09 13:54:10 CST 2025","passed","Sun Feb 09 13:54:12 CST 2025","Login failed Saucedemo","Test Case login failed.spec.js","",""
"","3768","Login exitoso con un usuario válido","webkit","Sun Feb 09 13:54:02 CST 2025","passed","Sun Feb 09 13:54:06 CST 2025","Login exitoso Saucedemo","Test Case 1 Login.spec.js","",""
"","3099","Add to cart","webkit","Sun Feb 09 13:54:07 CST 2025","passed","Sun Feb 09 13:54:10 CST 2025","Add to cart","Test Case add to cart.spec.js","",""
"","2674","Add to cart","chromium","Sun Feb 09 13:53:35 CST 2025","passed","Sun Feb 09 13:53:38 CST 2025","Add to cart","Test Case add to cart.spec.js","",""
"","6381","End to End process","chromium","Sun Feb 09 13:53:29 CST 2025","passed","Sun Feb 09 13:53:36 CST 2025","End to End process","End to End.spec.js","",""
"","6035","End to End process","webkit","Sun Feb 09 13:54:02 CST 2025","passed","Sun Feb 09 13:54:08 CST 2025","End to End process","End to End.spec.js","",""
"","4023","Login exitoso con un usuario válido","firefox","Sun Feb 09 13:53:47 CST 2025","passed","Sun Feb 09 13:53:51 CST 2025","Login exitoso Saucedemo","Test Case 1 Login.spec.js","",""
"","2883","Remove from cart","chromium","Sun Feb 09 13:53:42 CST 2025","passed","Sun Feb 09 13:53:45 CST 2025","Remove from cart","Test Case remove from cart.spec.js","",""
"","4834","Checkout exitoso","webkit","Sun Feb 09 13:54:09 CST 2025","passed","Sun Feb 09 13:54:14 CST 2025","Checkout exitoso","Test Case Checkout.spec.js","",""
"","4050","Checkout exitoso","chromium","Sun Feb 09 13:53:38 CST 2025","passed","Sun Feb 09 13:53:42 CST 2025","Checkout exitoso","Test Case Checkout.spec.js","",""
"","2914","Login failed con un usuario no válido","firefox","Sun Feb 09 13:53:54 CST 2025","passed","Sun Feb 09 13:53:57 CST 2025","Login failed Saucedemo","Test Case login failed.spec.js","",""
"","3389","Logout exitoso","chromium","Sun Feb 09 13:53:40 CST 2025","passed","Sun Feb 09 13:53:44 CST 2025","Logout exitoso","Test Case logout.spec.js","",""
"","5050","End to End process","firefox","Sun Feb 09 13:53:47 CST 2025","passed","Sun Feb 09 13:53:52 CST 2025","End to End process","End to End.spec.js","",""
"","3952","Logout exitoso","webkit","Sun Feb 09 13:54:12 CST 2025","passed","Sun Feb 09 13:54:16 CST 2025","Logout exitoso","Test Case logout.spec.js","",""
"","2965","Remove from cart","firefox","Sun Feb 09 13:53:57 CST 2025","passed","Sun Feb 09 13:54:00 CST 2025","Remove from cart","Test Case remove from cart.spec.js","",""
"","3132","Checkout exitoso","firefox","Sun Feb 09 13:53:53 CST 2025","passed","Sun Feb 09 13:53:56 CST 2025","Checkout exitoso","Test Case Checkout.spec.js","",""
"","2602","Add to cart","firefox","Sun Feb 09 13:53:52 CST 2025","passed","Sun Feb 09 13:53:54 CST 2025","Add to cart","Test Case add to cart.spec.js","",""
